x,y
0,27
20,30
50,33
66,35
82,38
100,40
117,44
133,45
150,46
183,52
22,74
40,75
55,78
73,80
91,81
107,83
123,85
141,89
159,90
176,91
194,94
201,52
218,54
235,58
223,99
271,64
260,102
279,106
288,67
306,67
319,70
339,74
353,76
372,77
388,77
401,80
420,82
298,110
313,110
331,113
364,117
379,121
395,122
412,125
429,128
439,82
448,127
464,131
473,88
480,132
491,177
473,176
460,171
442,172
423,168
406,166
391,163
374,161
358,160
324,155
307,154
273,147
256,146
220,142
202,140
185,138
168,136
151,132
136,131
119,129
101,126
84,125
70,121
35,119
1,113
505,92
