x,y
326,374
315,336
302,286
294,245
286,205
256,92
267,120
222,412
214,374
203,336
197,296
183,250
167,167
375,114
364,81
355,35
394,199
403,241
410,283
422,320
432,367
442,407
449,446
344,456
352,491
360,538
541,361
532,318
512,245
504,199
563,449
553,406
161,629
151,584
142,540
133,501
124,459
116,417
104,377
269,621
262,580
251,540
240,496
232,457
173,203
155,128
144,86
127,6
18,7
28,52
38,91
47,134
54,168
68,219
84,295
380,617
370,575
274,161
246,39
237,4
345,1
459,491
470,530
478,569
582,532
568,487
521,278
495,158
483,115
473,74
464,34
